Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
0,1,149,11,5061325,66756,75626,503,5136951,67259,3,72944,53773477,676272,3105223,20695,56878700,696967,145,3,10,898206,True
1,2,149,11,2701191,40482,74705,501,2775896,40983,2,44234,57771609,697142,3249090,21660,61020699,718802,162,3,11,915802,True
2,3,149,11,4054501,59357,76778,509,4131279,59866,3,64859,47666351,602393,2953238,19672,50619589,622065,140,3,10,817228,True
3,4,173,11,5066166,68870,74968,502,5141134,69372,3,75254,47738434,600513,2951961,19641,50690395,620154,142,3,10,825851,True
4,5,173,11,6488544,89406,79330,515,6567874,89921,4,97694,53238654,669898,3782167,25201,57020821,695099,169,3,12,919524,True
5,6,173,11,4949278,68115,75604,502,5024882,68617,3,74429,64930056,779877,3795064,25240,68725120,805117,175,3,12,1041590,True
6,7,117,17,110126,18224,75106,500,185232,18724,1,19295,5463537,87701,5034624,33618,10498161,121319,200,3,14,108434,True
7,8,117,17,110126,18224,75071,500,185197,18724,1,19295,3483674,74555,5263515,35103,8747189,109658,197,3,14,91162,True
8,9,117,17,110126,18224,74288,500,184414,18724,1,19295,11656421,165134,4976438,33132,16632859,198266,207,3,14,196435,True
9,10,135,17,6138921,79623,75680,501,6214601,80124,2,84321,11496669,182590,4439357,29615,15936026,212205,195,3,13,212255,True
10,11,135,17,4064326,68948,74792,501,4139118,69449,2,73016,22464737,298646,5501420,36662,27966157,335308,225,3,14,351375,True
11,12,135,17,4064631,68948,74447,501,4139078,69449,2,73016,13434815,193266,4443406,29614,17878221,222880,195,3,13,224271,True
12,13,216,19,11638684,175152,76155,504,11714839,175656,3,184436,39016943,524273,6931006,46179,45947949,570452,289,3,17,605103,True
13,14,216,19,3771676,94642,75404,501,3847080,95143,2,99658,53718882,716772,6256507,41731,59975389,758503,286,3,17,819517,True
14,15,216,19,12916950,184697,74686,504,12991636,185201,3,194487,46513355,587087,6407098,42691,52920453,629778,280,3,17,670486,True
15,16,135,17,3966675,68033,75363,501,4042038,68534,2,72047,17168555,228026,5192047,34641,22360602,262667,211,3,14,269344,True
16,17,135,17,4990578,73828,75558,501,5066136,74329,2,78184,12204859,177712,4313059,28623,16517918,206335,196,3,13,207031,True
17,18,135,17,4064614,68643,74687,501,4139301,69144,2,72693,18776678,271738,5283275,35141,24059953,306879,215,3,14,314220,True
18,19,135,17,3871803,67728,76155,506,3947958,68234,2,71724,17695477,243248,5119598,34133,22815075,277381,213,3,14,285995,True
19,20,135,17,3771695,66508,75774,506,3847469,67014,2,70432,20511660,301788,5438826,36145,25950486,337933,217,3,14,347847,True
20,21,135,17,3103524,62543,75106,503,3178630,63046,2,66233,14496190,217647,5050886,33622,19547076,251269,210,3,14,254054,True
